Acronym,Full_Spelling
OLIF,oblique lumbar interbody fusion
OLLIF,oblique lateral lumbar interbody fusion
OM,obtuse marginal artery
OMC,ostiomeatal complex
OMU,ostiomeatal unit
OMX,osteochondromyxoma
ONH,optic nervehead
O/N,overnight
ONG,optic nerve glioma
ONSD,optic nerve sheath diameter
OOA,esophageal obturator airway
OOB,out of bed
OOC,orthokeratinized odontogenic cyst
OOH,Out-of-hospital
OOHCA,out-of-hospital cardiac arrest
OOHVFA,out-of-hospital ventricular fibrillation arrest
OOP,out-of-plaster
OP,operation
OPARACHEE,on resonance paramagnetic chemical exchange effect
OPCAB,Off-pump coronary artery bypass surgery
OPCABG,Off-Pump Coronary Artery Bypass Grafting
OPD,outpatient department
OPG,orthopantomogram
OPK,osteopoikilosis
OPL,oblique posterior ligament
OPLL,ossification of the posterior longitudinal ligament
OPPT,"oriented to person, place, and time"
OPT,orthopantomogram
OPV,oral polio vaccine
ORIF,open reduction internal fixation
ORN,osteoradionecrosis
ORSA,oxacillin-resistant staphylococcus aureus
ORT,oral rehydration therapy
OS,left eye (Latin: oculus sinister)
OSA,obstructive sleep apnea
OSD,Osgood-Schlatter disease
OSNA,one step nucleic acid amplification
OSP,oncocytic sinonasal papilloma
OT,occupational therapy
OTC,oesophagotracheal combitube
OTD,out the door (discharge)
OTTR,organ transplant tracking record
OU,both eyes
OV,esophageal varices
oVEMP,ocular vestibular-evoked myogenic potentials
OWR,Osler-Weber-Rendu syndrome
OxyHb,oxygenated hemoglobin
OYL,ossification of the yellow ligament
oz,ounce
PA,Posterior-anterior
PAC,premature atrial contraction
PaCO2,partial pressure of carbon dioxide in the blood
PACS,picture archiving and communication system
PAD,peripheral artery disease
PADMAL,pontine autosomal dominant microangiopathy with leukoencephalopathy
PAE,posterior acoustic enhancement
PAF,paroxysmal atrial fibrillation
PAH,pulmonary arterial hypertension
PAL,posterior axillary line
PAM,pulmonary alveolar microlithiasis
PAN,polyarteritis nodosa
PANDAS,pediatric autoimmune neuropsychiatric disorder associated with a streptococci
PaNS,parasympathetic nervous system
PANS,pediatric acute-onset neuropsychiatric syndrome
PAO,periacetabular osteotomy
PaO2,partial pressure of oxygen in the blood
PAP,pulmonary alveolar proteinosis
PAPA syndrome,"pyogenic arthritis, pyoderma gangrenosum, and acne"
PAPP-A,pregnancy-associated plasma protein-A
PAPVR,partial anomalous pulmonary venous return
PAS,posterior acoustic shadowing
PASH,pseudoangiomatous stromal hyperplasia
PASTA,partial articular-sided supraspinatus tendon avulsion
PAT,paroxysmal atrial tachycardia
Path,pathology
PAU,penetrating atherosclerotic ulcer
PAVR,percutaneous aortic valve replacement
PB,petabyte
PBC,primary biliary cirrhosis
PBMCs,peripheral blood mononuclear cells
PBR,payment by results
PC,presenting complaint
PCA,patient-controlled analgesia
PCC,Prothrombin complex concentrates
PCCP,percutaneous compression plate
PCCT,photon-counting computed tomography
PCD,Primary ciliary dyskinesia
PCI,percutaneous coronary intervention
PCKD,polycystic kidney disease
PCL,posterior cruciate ligament
PCM,plasmacytoma
PCN,percutaneous nephrostomy
PCNL,Percutaneous nephrostomy
PCNSL,primary CNS lymphoma
PCO,polycystic ovaries
PCOM,posterior communicating artery
PCOS,polycystic ovarian syndrome
PCP,pneumocystis carinii pneumonia
PCR,polymerase chain reaction
PCS,post-concussional syndrome
PCV,packed cell volume
PCVS,post-COVIDvac syndrome
PCWP,pulmonary capillary wedge pressure
PD,peritoneal dialysis
PDA,patent ductus arteriosus
PDAC,pancreatic ductal adenocarcinoma
PDD,pervasive developmental disorder
PDP,pachydermoperiostosis
PDx,provisional diagnosis
PE,pulmonary embolism
PEA,pulseless electrical activity
PEARL,pupils equal and reactive to light
PEATS,prostatic evasive anterior tumor syndrome
PEC,percutaneous endoscopic colostomy
PED,pediatrics
PEEK,polyetheretherketone
PEEP,positive end-expiratory pressure
PEF,peak expiratory flow
PEG,percutaneous endoscopic gastrostomy
PEI,pancreatic exocrine insufficiency
PEJ,percutaneous endoscopic jejunostomy
PEJV,posterior external jugular vein
PEP,post-exposure prophylaxis
PEPSI,post-exposure prophylaxis (after) sexual intercourse
PERC,pulmonary embolism rule-out criteria
PERCIST,positron emission tomography response criteria in solid tumors
PERLA,pupils equal and reactive to light and accommodation
PESI,pulmonary embolism severity index
PEST ,"political, economic, social and technological"
PESTLE ,"political, economic, social, technological, legal and environmental"
PET,positron emission tomography
PFA,profunda femoris artery
PFAS,partial fetal alcohol syndrome
PFFD,proximal femoral focal deficiency
PFH,past family history
PFHx,past family history
PFHT,plexiform fibrohistiocytic tumor
PFI,pulmonary fungal infection
PJI,prosthetic joint infection
PFJ,patellofemoral joint
PFL,popliteofibular ligament
PFO,patent foramen ovale
PFT,pulmonary function tests
PG,postgraduate
PGCS,pediatricGlasgow Coma Scale
PH,past (medical) history
PHA,proper hepatic artery
PHAT,pleomorphic hyalinizing angiectatic tumor
PHP,pseudohypoparathyroidism
PHTN,pulmonary hypertension
PHVD,posthaemorrhagic ventricular dilatation
PI,present illness
PIC,pain in chest
PICA,posterior inferior cerebellar artery
PICC,peripherally inserted central catheter
PICCL,peripherally inserted central catheter line
PICO,"patient/population, intervention, comparison, and outcome"
PICU,pediatric intensive care unit
PID,pelvic inflammatory disease
PIE,pulmonary interstitial emphysema
PIH,pregnancy-induced hypertension
PIIS,posterior inferior iliac spine
PIM,potentially inappropriate medication
PIMS-TS,pediatric multisystem inflammatory syndrome temporally associated with SARS-CoV-2
PIN,prostatic intraepithelial neoplasia
PIOPED,prospective investigation of pulmonary embolism diagnosis
PIPJ,proximal interphalangeal joint
PI-RADS,prostate imaging reporting and data system
PISAPED,prospective investigative study of acute pulmonary embolism diagnosis
PIT,pituitary
PITAND,pediatric infection-triggered autoimmune neuropsychiatric disorders
PITFL,posterior inferior tibiofibular ligament
PITI,post-intubation tracheal injury
PJK,proximal junctional kyphosis
PJP,pneumocystis jirovecii pneumonia
PJS,Peutz-Jeghers syndrome
PK,polycystic kidney
PKD,polycystic kidney disease
PKU,phenylketonuria
PLC,posterior ligamentous complex(of the spine)
PLCH,pulmonary Langerhans cell histiocytosis
PLE,panlobular emphysema
PLIF,posterior lumbar interbody fusion
PLL,posterior longitudinal ligament
PLND,pelvic lymph node dissection
PLT,platelet
PLV,posterior left ventricular(artery)
PMB,post menopausal bleeding
PMC,PubMed Central
PMF,progressive massive fibrosis
PMID,PubMed identifier
PMH,past medical history
PMHx,past medical history
PML,progressive multifocal leukoencephalopathy
PMMA,polymethylmethacrylate
PMR,papillary muscle rupture
PMSAH,perimesencephalic subarachnoid hemorrhage
PMX,Past Medical History
PNA,pneumonia
PND,paroxysmal nocturnal dyspnea
PNET,primitive neuroectodermal tumor
PNG,portable network graphics
PNIF,peak nasal inspiratory flow
PNS,peripheral nervous system
PO,postoperative
POBA,plain old balloon angioplasty
POC,products of conception
POCT,point of care testing
POCUS,point-of-care ultrasonography
POD,postoperative day
POL,posterior oblique ligament
POLO,periodic occurrence of laryngeal obstruction
PoMI,posteromedial impingement of the ankle
POMP,phase offset multiplanar (GE)
PONV,post operative nausea and vomiting
POP,post-operative pain
PORP,partial ossicular replacement prosthesis
PoS,postsubiculum
POEMS,"Polyneuropathy, Organomegaly, Endocrinopathy, Monoclonal plasma cell disorder,"
PORT,totally implantable venous access device
POTS,postural orthostatic tachycardia syndrome
PP,per procurationem (through the agency of)
PPB,parts per billion
PPC,posterior parahepatic cyst
PPD,Purified protein derivative skin test for tuberculosis
PPCS,post polypectomy coagulation syndrome
PPE,pulmonary edema
PPF,pterygopalatine fossa
PPH,postpartum hemorrhage
PPHP,pseudopseudohypoparathyroidism
PPI,proton pump inhibitor
PPM,permanent pacemaker
PPMS,primary progressive multiple sclerosis
PPO,postpneumonectomy pulmonary edema
PPPD,persistent postural perceptual dizziness
PPROM,preterm premature rupture of membranes
PPS,parapharyngeal space
PPT,precipitant
PPV,positive predictive value
PR,pulse rate
PRC,packed red cells
PrCa,prostate cancer
PREP,pre-exposure prophylaxis
PRES,posterior reversible encephalopathy syndrome
PRESS,Point-RESolved Spectroscopy
PRF,pulse repetition frequency
PRICE,"protection, rest, ice, compression and elevation"
Primips,primipara
PRL,prolactin
PRN,as required
Pro,professional
Prof,professor
PROG,progesterone
PROM,premature rupture of membranes
PROPELLER,periodically rotated overlapping parallel lines with enhanced reconstruction
ProS,prosubiculum
PRP,platelet-rich plasma
PRRT,peptide receptor radionuclide therapy
PrS,presubiculum
PS,pulmonary stenosis
PSA,prostate specific antigen
PsA,psoriatic arthritis
PSAD,prostate specific antigen density
PSAH,pseudosubarachnoid hemorrhage
PSAP,prostate specific acid phosphatase
PSAV,prostate specific antigen velocity
PSB,pansystolic spectral broadening
PSC,primary sclerosing cholangitis
PSCC,posteriorsemicircular canal
PSD,peak skin dose
PSE,portosystemic encephalopathy
PSIR,phase-sensitive inversion recovery
PSIS,posterior superior iliac spine
PSMA,prostate specific membrane antigen
PSP,progressive supranuclear palsy
PSS,progressive systemic sclerosis
PSV,peak systolic velocity
PT,pulmonary trunk
PTA,posterior tibial artery
PTB,pulmonary tuberculosis
PTBD,Percutaneous transhepatic biliary drainage
PTC,Percutaneous transhepatic cholangiography
PTCA,percutaneous transluminal coronary angioplasty
PTFJ,proximal tibiofibular joint
PTFL,posterior talofibular ligament
PTH,parathyroid hormone
PTJD,proximal tibiofibular joint dislocation
PTLD,Post-transplant lymphoproliferative disorder
PTSD,post-traumatic stress disorder
PTTS,Partial thromboplastin time
PTU,propylthiouracil
PTV,planning target volume
PTX,pneumothorax
PU,per urethra
PUC,prostatic utricle cyst
PUD,peptic ulcer disease
PUJ,pelviureteric/pyeloureteric junction
PUL,pregnancy of unknown location
PUO,pyrexia of unknown origin
PUV,posterior urethral valves
PV,portal vein
PVC,premature ventricular contraction
PVD,peripheral vascular disease
PVI,pulmonary vein isolation
PVIA,pulmonary vein isolation ablation
PVL,periventricular leukomalacia
PVOD,pulmonary veno-occlusive disease
PVP,portal venous phase
PVR,pulmonary vascular resistance
PVS,perivascular space
PVT,Portal vein thrombosis
PWB,partial weight bearing
PWD,pulsed wave Doppler
PW Doppler,pulsed wave Doppler
PX,prognosis
PXR,pelvis x-ray
PY,pack-year
PZ,peripheral zone (prostate)
QA,quality assurance
QALY,quality-adjusted life year
QBC,quadrature body coil(Philips)
QDS,four times a day
QH,every hour 
QHS,every night at bedtime
QI,quality improvement
QIP,quality improvement project
QISS,quiescent interval for single shot (Siemens)
QN,every night
QoL,quality of life
QRAPMASTER,quantification of relaxation times and proton density by multi-echo acquisition of a saturation-recovery using turbo spin echo readout
qv,please see
RA,right atrium
RAAS,renin-angiotensin-aldosterone system
RACF,residential aged-care facility
RAD,right axis deviation
RAI,radioactive Iodine
RALP,robot-assisted laparoscopicprostatectomy
RANK,receptor activator of nuclear factor-Kappa B
RANZCR,Royal Australian and New Zealand College of Radiologists
RAO,right anterior oblique
RAPD,relative afferent pupillary defect
RAPN,robot-assisted partial nephrectomy
RAR,renal-to-aortic ratio
RARP,robot-assisted radicalprostatectomy
RAS,renal artery stenosis
RAZ,right apical zone
RBBB,right bundle branch block
RBC,red blood cells
RB-ILD,respiratory bronchiolitis-interstitial lung disease
RC,rotator cuff
RCA,right coronary artery
RCC,renal cell carcinoma
RCCA,rightcommon carotid artery
RCH,remote cerebellar hemorrhage
R-CHOP,"rituximab, cyclophosphamide, doxorubicin (hydroxydaunomycin), oncovin (vincristine), prednisolone"
RCJ,radiocarpal joint
RCL,radial collateral ligament complex of the elbow
RCM,restrictive cardiomyopathy
RCR,Royal College of Radiologists(UK)
RCT,randomized control trial
RCU,respiratory care unit
RCVS,reversible cerebral vasoconstriction syndrome
Rd,rutherford
RdRp,RNA-dependent RNA polymerase gene
RDS,respiratory distress syndrome
RDW,red cell distribution width
RE,right eye
ReA,reactive arthritis
REBOA,resuscitative endovascular balloon occlusion of the aorta
RECIST,response evaluation criteria in solid tumors
Recons,reconstructions
Reg,registrar
Rem,roentgen equivalent man
RES,reticuloendothelial system
Resus,resuscitation
RF,rheumatoid factor
RFA,radiofrequency ablation
RFB,rectal foreign body
RFT,right ventricular false tendon
RFTs,respiratory function tests
RGA,right gastric artery
RH,rhesus
RHA,right hepatic artery
RHC,right heart catheterization
RHD,rheumatic heart disease
RHS,right hand side
RHV,right hepatic vein
RI,resistive index
RIC,rapid infusion catheter
RIF,right iliac fossa
RIG,radiologically inserted gastrostomy
RIGS,radioimmuno-guided surgery
RIH,right inguinal hernia
RIHD,radiation-induced heart disease
RIJ,right internal jugular
RIJV,right internal jugular vein
RIMA,right internal mammary artery
RIRS,retrograde intrarenal surgery
RIS,radiologically-isolated syndrome
RITA,right internal thoracic artery
RK,right kidney
RLE,right lower extremity
RLL,right lower lobe (of the lung)
RLQ,right lower quadrant
RLZ,right lower zone
RMB,right main bronchus
RML,right middle lobe
RMO,resident medical officer
RMS,rhabdomyosarcoma
RMT,retromolar trigone
RMZ,right middle zone
RN,registered nurse
RNA,ribonucleic acid
RNFL,retinal nerve fiber layer
RO,right ovary
R/O,rule out
ROC,receiver operating characteristiccurve
ROI,region of interest
ROLL,radioguided occult lesion localization
ROM,range of motion
ROP,retinopathy of prematurity
ROS,reactive oxygen species
ROSC,return of spontaneous circulation
RP,retinitis pigmentosa
RPA,right pulmonary artery
RPOC,retained products of conception
RPL,recurrent pregnancy loss
RPLND,retroperitoneal lymph node dissection
RPLS,reversible posterior leukoencephalopathy syndrome
RPP,radical perinealprostatectomy
RR,respiratory rate
RRA,right renal artery
RRMS,relapsing remitting multiple sclerosis
RRP,radical retropubicprostatectomy
RRT,renal replacement therapy
RS,respiratory system
RSBI,rapid shallow breathing index
RSCA,right subclavian artery
RSI,repetitive strain injury
RSM,recurrent spontaneous abortion
RSNA,Radiological Society of North America
RSO,resident surgical officer
RSW,right-sided weakness
RSWP,radial-sided wrist pain
RSX,radiosurgery
RT,right
RTA,renal tubular acidosis
RTC,road traffic collision
RTT,return to theater
RTI,respiratory tract infection
RTX,radiotherapy
RUE,right upper extremity
RUL,right upper lobe of the lung
RUO,right ureteric orifice
RUQ,right upper quadrant
RUZ,right upper zone
RUSH,rapid ultrasound in shock
RV,residual volume
RVA,rightvertebral artery
RVAD,right ventricular assist device
RVCL-S,retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations
RVD,retroviral disease(euphemism for HIV)
RVF,right ventricular failure
RVH,right ventricular hypertrophy
RVOT,right ventricular outflow tract
RVR,rapid ventricular rate
RVSP,right ventricular systolic pressure
RVT,renal vein thrombosis
RWMA,regional wall motion abnormalities
Rx,prescription
S1-S4,"first, second, third, fourthheart sounds"
SAA,serum amyloid A
SAAG,serum ascites albumin gradient
SAB,subacromial bursa
SABA,short-acting beta-2 agonist
SABR,stereotactic ablative radiotherapy
SACT,systemic anti-cancer therapy
SAD,seasonal affective disorder
SAE,sepsis-associated encephalopathy
Sag,sagittal
SAH,subarachnoid hemorrhage
SALT,speech and language therapy
SAM,segmental arterial mediolysis
SAN,sinoatrial node
S&S,signs and symptoms
SAPHO,"synovitis, acne, pustulosis, hyperostosis, osteitis"
SAR,specific absorption rate
SARS,severe acute respiratory syndrome
SARS-CoV-1,severe acute respiratory syndrome-coronavirus-1
SARS-CoV-2,severe acute respiratory syndrome-coronavirus-2
SAVR,surgical aortic valve replacement
SB,small bowel
SBBOS,small bowel bacterial overgrowth syndrome
SBC,simple bone cyst
SBE,subacute bacterial endocarditis
SBF,small bowel follow through
SBFT,small bowel follow through
SBO,small bowel obstruction
SBP,spontaneous bacterial peritonitis
SBPL,spontaneous bacterial pleuritis
SBRT,stereotactic body radiotherapy
SBS,seat belt sign
SC,subcutaneous
SCA,Sudden Cardiac Arrest
SCAD,spontaneouscoronary artery dissection
SCC,squamous cell carcinoma
SCCD,semicircular canal dehiscence
SCCP,small cell carcinoma of the prostate
SCD,sickle cell disease
SCDO,spondylocostal dysostosis
SCI,spinal cord injury
SCIWORA,spinal cord injury without radiographic abnormality
SCJ,sternoclavicular joint
SCLC,small cell lung cancer
SCM,sternocleidomastoid
SCoR,Society and College of Radiographers (UK)
SCOS,small cell osteosarcoma
SCORIF,stimulated cycle oocyte retrieval in [office] fertilisation
scRNA-seq,single-cell RNA sequencing
SCS,spinal cord stimulator
SCT,stem cell transplant
SCV,subclavian vein
SD,septal deviation
SDASH,shunt-dependency in symptomatic aneurysmal subarachnoid hemorrhage score
SDD,surfactant deficiency disorder
SDEC,same-day emergency care
SDH,subdural hemorrhage
SE,Side-effect
Sec,second
SEE,septic-embolic encephalitis
SEEG,stereoelectroencephalography
SeHCAT,selenium homocholic acid taurine
SEMAC,slice-encoding for metal artifact correction
SEMS,self-expandable metallic stent
SEP,superiorend-plate(vertebral body)
SFA,superficial femoral artery
SFH,symphyseal fundal height
SFLC,serum free light chains
SFV,superficial femoral vein(femoral vein preferred)
SGA​,small for gestational age
SGC,Swan-Ganz catheter
SGHL,superior glenohumeral ligament
SH,Salter-Harris
SHG,sonohysterogram
SHO,senior house officer
SHx,social history
SIADH,syndrome of inappropriate antidiuretic hormone secretion
SIBO,small intestinal bacterial overgrowth
SICRET,"small infarctions of cochlear, retinal and encephalic tissue (Susac syndrome)"
SIDM,steroid-induced diabetes mellitus
SIDS,sudden infant death syndrome
SIJ,sacroiliac joint
SIM,simulation
SIMV,synchronised intermittent mechanical ventilation
SINS,spinal instability neoplastic score
SIRT,selective internal radiotherapy
SIRVA,shoulder injury related to vaccine administration
SIT,situs inversus totalis
SJS,Stevens-Johnson syndrome
SkM,skeletal muscle
SLAC,scapholunate advanced collapse
SLAP,superior labral anterior-posterior(tear)
SLE,systemic lupus erythematosus
SLEC,spinal longitudinal epidural collection
SLG,sublingual gland
SLGA,superior lateral genicular artery
SLGB,single lumen gastric bypass
SLIG,single live intrauterine gestation
SLIP,single live intrauterine pregnancy
SLIUG,single live intrauterine gestation
SLIUP,single live intrauterine pregnancy
SLJ,Sinding-Larsen-Johansson disease
SLL,scapholunate ligament
SLN,sentinel lymph node
SLNBx,sentinel lymph node biopsy
SLT,speech and language therapy
SLYM,subarachnoid lymphatic-like membrane
SM,smooth muscle
SMA,superior mesenteric artery
SMART,"specific, measurable, achievable, relevant, timely"
SMAS,superficial musculoaponeurotic system
SMEI,severe myoclonic epilepsy of infancy
SMG,submandibular gland
SMGA,superior medial genicular artery
SMR,stable metabolic response
SMS,sonographic Murphy sign
SMV,superior mesenteric vein
SN,sentinel node
SNAC,scaphoid nonunion advanced collapse
SNBx,sentinel node biopsy
SNHL,sensorineural hearing loss
SNiP,single nucleotide polymorphism
SNOH,surgical neck of humerus
SNP,single nucleotide polymorphism
SNpc,substantia nigra pars compacta
SNR,signal-to-noise ratio
SNS,sympathetic nervous system
SNT,"soft, non-tender"
SOA,swelling of ankles
SOAP,"subjective, objective, assessment, plan (medical notes)"
SOB,shortness of breath
SOBAR,shortness of breath at rest
SOBOE,shortness of breath on exertion
SOD,septo-optic dysplasia
SOF,superior orbital fissure
SOFS,superior orbital fissure syndrome
SOL,space-occupying lesion
SONK,spontaneous osteonecrosis of the knee
SOP,standard operating procedure
SoR,Society of Radiographers (UK)
SOS,sinusoidal obstruction syndrome
SOV,superior ophthalmic vein
SOVA,sinus of Valsalva aneurysm
SPTTL,superficial posterior tibiotalar ligament
S/P,status post
SpaceOAR,space organ at risk
SPAIR,spectral attenuated inversion recovery
SPC,suprapubic catheter
SPECIAL,spectral inversion at lipid
SPECT,single photon emission computed tomography
SPET,single photon emission computed tomography
SPGR,spoiled gradient recalled
SPIR,spectral presaturation with inversion recovery
SPK,simultaneous pancreas-kidney
SPMS,secondary progressive multiple sclerosis
SPN,solitary pulmonary nodule
SPT,suprapubic tube
SQ,status quo
SR,sinus rhythm
SREAT,steroid responsive encephalopathy associated with autoimmune thyroiditis
SRM,solitary renal mass
SRO,sagittal ramus osteotomy
SROM,spontaneous rupture of membranes
SRS,stereotactic radiosurgery
SSB,sjogren syndrome type B antigen
SSCC,superiorsemicircular canal
SSCP,summary of safety and clinical performance
SSD,somatic symptom disorder
SSFP,steady state free precession
SSG,split skin graft
SSI,surgical site infection
SSP,subspecies
SSR,spontaneous splenic rupture
SSRI,selective serotonin reuptake inhibitors
SSS,sick sinus syndrome
SST,short Synacthen test
SSTR,somasostatin receptor
ST,ST segment on ECG
STA,superficial temporal artery
STAMCA,superficial temporal artery to middle cerebral artery anastomosis
Staph,Staphylococcusspp
stat,immediately (Latin: statim)
STD,sexually transmitted disease
STE,ST elevation
STEMI,ST segment elevation myocardial infarct
STI,sexually transmitted infection
STIR,short tau inversion recovery
STJ,subtalar joint
STOP,selective tubal occlusive procedure
STP,standard temperature and pressure
Strep,Streptococcusspp
STUMP,stromal tumor of uncertain malignant potential
SUA,single umbilical artery
SUB,subiculum
subcut,subcutaneous
subsp,subspecies
SUDEP,sudden unexplained death in epilepsy
SUI,serious untoward incident
SUIB,sitting up in bed
SUL,standardized uptake value corrected for lean body mass
SUO,syncope of unknown origin
supraclav,supraclavicular
SUV,standardized uptake value
SV,stroke volume
SVC,superior vena cava
SVD,spontaneous vaginal delivery
SVI,stroke volume index
SVR,sustained virologic response
SVT,supraventricular tachycardia
SWAN,syndrome without a name
SWI,susceptibility-weighted imaging
SWOT,"strengths, weaknesses, opportunities, threats"
SWS,Sturge-Weber syndrome
SWU,sepsisworkup
Sx,signs
SXR,skull x-ray
Sy,symptoms
Symp,symptoms
Symph,symphysis pubis
Sys,systems review
T½,half-life time
T1,first thoracic vertebra
T1DM,type 1 diabetes mellitus
T1RF,type 1 respiratory failure
T1WI,T1 weighted imaging
T2,second thoracic vertebra
T2DM,type 2 diabetes mellitus
T2RF,type 2 respiratory failure
T2WI,T2 weighted imaging
T3,third thoracic vertebra
T4,fourth thoracic vertebra
T1-T12,thoracic vertebrae
T13,trisomy 13
T18,trisomy 18
T21,trisomy 21
TA,Takayasu arteritis
T&A,tonsillectomy and adenoidectomy
TAA,thoracic aortic aneurysm
TAAG,tibioastragalus anticus of Gruber muscle
TAC ,trigeminal autonomic cephalgia
TACE,transarterial chemoembolisation
TACS,total anterior circulation stroke
TAE,transarterial embolization
TAFRO,"thrombocytopenia, anasarca, fever, reticulin fibrosis and organomegaly syndrome"
TAH,total abdominal hysterectomy
TAHBSO,total abdominal hysterectomy and bilateral salpingo-oophorectomy
TAI,traumatic axonal injury
TAK,Takayasu arteritis
TAMIS,trans anal minimal invasive surgery
TAPS,traumatic abruptio placenta scale
TAPVR,total anomalous pulmonary venous return
TAR,thrombocytopenia with absent radius syndrome
TAT,turnaround time
TATT,tired all the time
TAVI,transcatheter aortic valve implantation
TAVR,transcatheter aortic valve replacement
TB,tuberculosis
TBI,traumatic brain injury
TBNA,transbronchial needle aspiration
TBSA,total body surface area (burns)
tBW,transmitter (radiofrequency) bandwidth
TC,Tenckhoff catheter
TCA,tricyclic antidepressant
TCC,transitional cell carcinoma
TD,trochlear depth
TDC,thyroglossal duct cyst
TDP-43,transactive response (TAR) deoxyribonucleic acid-binding protein 43 (kDa)
TDR-TB,totally drug-resistant tuberculosis
TDS,three times a day
T-Dxd,trastuzumab deruxtecan
TE,time to echo
TEA,total elbow arthroplasty
TECAB,totally endoscopic coronary artery bypass
TED,thyroid eye disease 
TEE,transesophageal echocardiography
TEETH,"tried everything else, try homeopathy"
TEF,tracheo-esophageal fistula
TEM,transmission electron microscopy
TEP,tracheoesophageal puncture
TER,total elbow replacement
TESA,testicular sperm aspiration
TET,tubal embryo transfer
TEVAR,thoracic endovascular aortic repair
TFC,triangular fibrocartilage
TFCC,triangular fibrocartilage complex
TFCS,tibiofibular clear space
TFE,turbo field echo
TFL,tensor fasciae latae
TFO,tibiofibular overlap
TFTs,thyroid function tests
TG,triglyceride
TGA,transposition of the great arteries
TGDC,thyroglossal duct cyst
TGSE,turbo gradient spin echo
TGV,transposition of the great vessels
TH,thyroid hormone
Th,thorium
THA,total hip arthroplasty
THAD,transient hepatic attenuation differences
THC,tetrahydrocannabinol (principle active component of marijuana)
THID,transient hepatic intensity differences
THR,total hip replacement
Thr,threonine
THRIVE,T1W high resolution isotropic volume examination (Philips)
THz,terahertz
TI,terminal ileum
TIA,transient ischemic attack
Tib,tibia
Tics,diverticula
TID,transient ischemic dilatation
TIFF,tagged image file format
TIMI score,thrombolysis in myocardial infarction
TIPC,tunneled indwelling pleural catheter
TIPIC,transient perivascular inflammation of the carotid artery
TIPS,transjugular intrahepatic portosystemic shunt
TIPSS,transjugular intrahepatic portosystemic shunt
TI-RADS,thyroid image reporting and data system
TIRM,turbo inversion recovery magnitude
TKA,total knee arthroplasty
TKI,tyrosine kinase inhibitor
TKR,total knee replacement
TLA,three letter acronym
TLC,triple lumen catheter
TLD,thermoluminescent dosimeter
TLE,temporal lobe epilepsy
TLH,total laparoscopic hysterectomy
TLIF,transforaminal lumbar interbody fusion
T-LOC,transient loss of consciousness
TLSO,thoracolumbosacral orthosis
TM,tympanic membrane
TMA,time to maximum
TMC,thrombotic microangiopathy 
TME,temporary medical care
Tmax,total mesorectal excision
TMD,temporomandibular dysfunction
TMJ,temporomandibular joint
TMS,tumefactive multiple sclerosis
TMTJ,tarsometatarsal joint
TMVR,tumor necrosis factor
TNF,transcatheter mitral valve replacement
TNL,tibionavicular ligament
TNM,tumor-nodes-metastases
T&O,trauma and orthopedics
TOA,tubo-ovarian abscess
TOC,trial of (urinary) catheter
TOE,transesophageal echocardiography
TOF,tetralogy of Fallot
TOG,tracheo-esophageal groove
TOLAC,trial of labor after cesarean section
Tomo,tomogram
TON,traumaticoptic neuropathy
TONE,tilt optimized non-saturated excitation
TORCH,"toxoplasmosis, other (syphilis, varicella, parvovirus), rubella, CMV, herpes"
TORP,total ossicular replacement prosthesis
TOS,thoracic outlet syndrome
TOV,trial of void
TP,transpyloric
TPA,tissue plasminogen activator
TPC,tunneled pleural catheter
TPN,total parenteral nutrition
TPS,treatment planning system
TPT,transpyloric tube
TR,tricuspid regurgitation
T/R,transmit receive (coil)
TRALI,transfusion-related acute lung injury
TRANCE,triggered angiography non-contrast enhanced
TRAQ,time-resolved acquisition (Hitachi)
TRH,thyroid-releasing hormone
TRICKS,time-resolved imaging of contrast kinetics (GE)
Trig,triggered
Triple-A syndrome,achalasia-addisonianism-alacrima syndrome
TRO,to rule out
Trop,troponin
Trp,tryptophan
TRUS,transrectal ultrasound
TS,tuberous sclerosis
TSA,total shoulder arthroplasty
tSDH,traumatic subdural hemorrhage
TSE,turbo spin echo
TSETF,turbo spin echo turbo factor
TSF,Taylor spatial frame
TSH,thyroid-stimulating hormone
TSHR Ab,thyroid stimulating hormone receptor antibodies
TSR,total shoulder replacement
TT-TG,tibial tuberosity - trochlear groove sulcus distance
TTC,tibiotalocalcaneal arthrodesis
TTE,transthoracic echocardigraphy
TTFO,to take fluids orally
TTN,transient tachypnea of the newborn
TTP,thrombotic thrombocytopenic purpura
TTS,thrombosis with thrombocytopenia syndrome
​TTTS,twin-to-twin transfusion syndrome
TUBS,traumatic unilateral dislocation with aBankart lesionrequiring surgery
TurboFLASH,turbo fast low angle shot
TurboGRASS,turbo gradient recalled acquisition in steady-state
TurboGSE,turbo gradient spin echo
TurboIR,turbo inversion recovery
TURBT,transurethral resection of bladder tumor
TURP,transurethral resection of the prostate
TV,tidal volume
TVH,total vaginal hysterectomy
TVR,tricuspid valve replacement
TWB,total weight bearing
TWI,T-wave inversion
TWIST,time-resolved angiography with stochastic trajectories (Siemens)
TWOC,trial without (urinary) catheter
Tx,treatment
TXA,tranexamic acid
TZ,transition zone (prostate)
U1-U5,U classification of thyroid nodules
UAC,umbilical arterial catheter
UAE,uterine artery embolization
U&Es,urea and electrolytes
UBC,unicameral bone cyst
UBO,unidentified bright object
UC,ulcerative colitis
UCL,ulnar collateral ligament
